SERIE;FECHA;TIPO;CLASE_10;CONTADOR_10;CLASE_20;CONTADOR_20;MOTIVO;OBSERVACION
CNBRSDR4X3;12/06/2026;21;10;3250;;0;;
CNBRSDR4TY;12/06/2026;21;10;935;;0;;
CNBRSDR4SS;12/06/2026;21;10;709;;0;;
CNBRSDR4Y1;12/06/2026;21;10;556;;0;;
CNBRSDR4YZ;12/06/2026;21;10;855;;0;;
CNBRSDR4YM;12/06/2026;21;10;1159;;0;;
CNBRSDR4TP;12/06/2026;21;10;83;;0;;
BRBSS930DC;12/06/2026;21;10;14571;;0;;
0ACTBJFK80001LX;12/06/2026;21;10;73753;;0;;
0ACTBJFK80002VF;12/06/2026;21;10;27256;;0;;
0BLRBJKK10000PM;12/06/2026;21;10;44019;20;68380;;
0BLRBJMJB00001T;12/06/2026;21;10;162740;20;199636;;
